task_id,task_type,compute_units,data_size_mb,deadline_sec,priority
T-0001,image_processing,6.1,45.5,2.72,3
T-0002,object_tracking,4.17,19.22,1.22,5
T-0003,object_tracking,5.2,20.61,1.63,5
T-0004,terrain_mapping,8.88,77.68,5.21,2
T-0005,terrain_mapping,9.36,64.66,5.44,2
T-0006,image_processing,7.52,47.18,2.84,3
T-0007,image_processing,8.92,50.72,3.47,3
T-0008,object_tracking,4.59,21.29,1.73,5
T-0009,path_planning,3.41,3.23,0.89,5
T-0010,image_processing,9.42,57.33,2.88,3
T-0011,anomaly_detection,4.49,25.33,1.97,4
T-0012,image_processing,8.44,43.42,3.23,3
T-0013,terrain_mapping,9.08,87.76,5.03,2
T-0014,anomaly_detection,6.53,31.64,1.66,3
T-0015,terrain_mapping,9.07,66.33,5.41,2
T-0016,anomaly_detection,4.64,27.49,2.12,4
T-0017,path_planning,2.53,4.23,1.02,5
T-0018,object_tracking,4.86,20.84,1.42,5
T-0019,path_planning,3.02,3.45,0.82,2
T-0020,terrain_mapping,10.39,71.54,4.89,2
T-0021,anomaly_detection,6.91,32.91,1.51,4
T-0022,object_tracking,5.5,22.69,1.4,5
T-0023,path_planning,2.91,7.77,1.15,5
T-0024,object_tracking,5.52,20.08,1.26,5
T-0025,object_tracking,5.22,16.53,1.66,5
T-0026,object_tracking,5.84,20.99,1.49,3
T-0027,anomaly_detection,4.72,23.61,1.9,4
T-0028,image_processing,9.91,50.65,2.63,3
T-0029,object_tracking,4.33,20.28,1.56,5
T-0030,object_tracking,5.51,21.9,1.63,5
T-0031,anomaly_detection,5.31,27.76,1.58,4
T-0032,anomaly_detection,4.06,28.31,1.91,1
T-0033,path_planning,2.13,3.16,0.93,5
T-0034,anomaly_detection,6.01,23.21,1.59,4
T-0035,object_tracking,5.15,17.43,1.48,5
T-0036,image_processing,6.39,48.62,2.92,3
T-0037,image_processing,8.69,59.68,2.6,3
T-0038,anomaly_detection,6.4,21.64,1.63,4
T-0039,path_planning,2.84,4.39,0.9,5
T-0040,terrain_mapping,11.23,85.68,4.15,2
T-0041,object_tracking,5.67,24.69,1.76,5
T-0042,path_planning,2.81,5.41,1.15,5
T-0043,path_planning,2.76,7.93,0.91,5
T-0044,terrain_mapping,9.14,80.9,5.1,2
T-0045,terrain_mapping,8.62,68.9,5.45,2
T-0046,object_tracking,4.12,18.14,1.23,5
T-0047,object_tracking,4.31,24.61,1.25,5
T-0048,object_tracking,4.14,23.62,1.44,5
T-0049,object_tracking,4.49,20.95,1.57,5
T-0050,object_tracking,5.13,18.16,1.36,5
T-0051,anomaly_detection,4.72,25.94,1.97,4
T-0052,anomaly_detection,6.79,34.04,1.51,4
T-0053,object_tracking,5.99,15.73,1.33,5
T-0054,anomaly_detection,6.64,33.19,1.76,4
T-0055,object_tracking,5.41,21.12,1.79,5
T-0056,image_processing,8.67,51.09,3.43,2
T-0057,anomaly_detection,4.35,21.61,1.89,4
T-0058,object_tracking,4.42,18.43,1.61,5
T-0059,object_tracking,4.98,24.05,1.71,4
T-0060,anomaly_detection,4.13,25.0,1.59,4
T-0061,path_planning,3.48,5.76,0.97,1
T-0062,path_planning,3.09,7.17,1.03,2
T-0063,image_processing,7.23,57.98,3.3,3
T-0064,anomaly_detection,4.63,23.74,1.57,4
T-0065,terrain_mapping,11.9,82.48,5.39,2
T-0066,path_planning,3.95,7.05,1.15,3
T-0067,terrain_mapping,11.21,85.92,5.22,2
T-0068,image_processing,7.53,40.77,2.97,3
T-0069,terrain_mapping,9.4,84.62,5.31,2
T-0070,path_planning,2.8,4.39,0.83,5
T-0071,anomaly_detection,5.92,26.0,2.19,4
T-0072,image_processing,6.46,59.41,2.68,3
T-0073,anomaly_detection,4.11,28.95,1.74,4
T-0074,terrain_mapping,10.42,75.34,4.58,2
T-0075,anomaly_detection,4.13,26.54,1.86,4
T-0076,path_planning,2.73,3.35,1.07,5
T-0077,anomaly_detection,5.99,21.87,2.13,4
T-0078,terrain_mapping,9.3,80.92,4.83,2
T-0079,terrain_mapping,10.71,87.08,4.92,2
T-0080,object_tracking,5.67,18.04,1.33,5
T-0081,object_tracking,5.31,19.65,1.47,5
T-0082,terrain_mapping,11.17,88.79,5.1,2
T-0083,anomaly_detection,5.55,29.49,1.73,4
T-0084,path_planning,3.35,4.12,0.88,2
T-0085,terrain_mapping,10.45,83.05,4.68,2
T-0086,object_tracking,4.39,21.96,1.5,5
T-0087,image_processing,9.57,57.21,3.39,3
T-0088,path_planning,2.35,7.79,1.01,2
T-0089,image_processing,7.83,56.03,3.17,3
T-0090,object_tracking,4.63,22.55,1.47,5
T-0091,object_tracking,4.85,24.07,1.47,5
T-0092,terrain_mapping,9.8,82.55,5.26,2
T-0093,object_tracking,4.97,17.39,1.46,5
T-0094,path_planning,2.54,4.6,1.02,2
T-0095,terrain_mapping,10.78,81.19,4.1,2
T-0096,object_tracking,4.93,15.62,1.7,5
T-0097,object_tracking,5.89,15.2,1.73,5
T-0098,terrain_mapping,8.02,70.55,5.13,2
T-0099,terrain_mapping,10.15,82.04,5.2,2
T-0100,terrain_mapping,8.88,73.08,4.04,2
T-0101,terrain_mapping,10.9,85.22,5.38,2
T-0102,object_tracking,4.05,18.94,1.54,4
T-0103,path_planning,3.73,3.91,0.9,5
T-0104,terrain_mapping,9.31,82.84,4.57,2
T-0105,terrain_mapping,9.01,62.46,4.03,2
T-0106,anomaly_detection,4.67,21.03,2.17,1
T-0107,path_planning,2.4,3.1,0.86,1
T-0108,object_tracking,5.9,19.65,1.35,5
T-0109,object_tracking,5.21,22.48,1.27,5
T-0110,anomaly_detection,4.32,20.39,1.72,4
T-0111,terrain_mapping,9.59,81.45,4.11,2
T-0112,path_planning,2.2,6.86,1.14,5
T-0113,image_processing,9.18,51.32,2.54,3
T-0114,anomaly_detection,4.21,29.71,1.51,4
T-0115,terrain_mapping,8.42,88.82,4.95,2
T-0116,path_planning,2.87,6.67,1.19,5
T-0117,object_tracking,5.55,19.65,1.7,5
T-0118,anomaly_detection,6.56,32.46,1.56,4
T-0119,path_planning,3.5,5.85,1.07,5
T-0120,terrain_mapping,11.4,65.46,4.32,2
T-0121,anomaly_detection,4.84,28.94,2.12,4
T-0122,object_tracking,5.9,15.86,1.63,5
T-0123,path_planning,3.38,6.23,1.0,5
T-0124,image_processing,7.18,48.09,2.74,3
T-0125,anomaly_detection,5.42,27.96,1.8,4
T-0126,anomaly_detection,5.06,26.81,1.71,4
T-0127,path_planning,2.63,6.71,1.18,5
T-0128,path_planning,2.43,5.42,1.09,5
T-0129,object_tracking,5.19,24.81,1.7,5
T-0130,anomaly_detection,4.54,20.21,1.87,4
T-0131,image_processing,8.21,53.95,2.63,3
T-0132,terrain_mapping,8.41,60.37,4.43,2
T-0133,anomaly_detection,4.55,20.77,2.16,4
T-0134,image_processing,7.6,41.48,3.13,2
T-0135,object_tracking,5.9,15.85,1.35,5
T-0136,terrain_mapping,10.43,83.72,4.34,2
T-0137,terrain_mapping,11.63,68.92,4.88,2
T-0138,object_tracking,5.24,21.1,1.64,5
T-0139,path_planning,3.25,4.32,0.83,5
T-0140,object_tracking,4.15,15.03,1.47,5
T-0141,anomaly_detection,4.1,24.32,1.7,4
T-0142,image_processing,8.75,58.48,3.29,3
T-0143,path_planning,2.85,5.72,1.06,5
T-0144,path_planning,2.14,3.83,0.92,5
T-0145,object_tracking,5.84,19.39,1.48,5
T-0146,terrain_mapping,11.77,75.01,4.74,1
T-0147,terrain_mapping,10.94,78.11,4.04,2
T-0148,object_tracking,5.17,15.21,1.66,5
T-0149,object_tracking,4.08,22.56,1.48,5
T-0150,anomaly_detection,4.54,28.78,1.94,4
T-0151,image_processing,7.88,48.17,2.82,2
T-0152,anomaly_detection,5.23,27.43,1.96,4
T-0153,object_tracking,4.07,15.88,1.35,4
T-0154,object_tracking,5.65,15.01,1.72,5
T-0155,image_processing,6.75,47.24,3.26,3
T-0156,image_processing,6.81,50.98,3.43,3
T-0157,terrain_mapping,8.49,89.19,4.91,2
T-0158,path_planning,2.62,3.07,0.96,5
T-0159,image_processing,7.85,42.35,3.33,3
T-0160,anomaly_detection,5.53,24.1,2.08,4
T-0161,path_planning,2.91,3.72,0.88,5
T-0162,path_planning,3.73,4.38,1.12,5
T-0163,object_tracking,4.53,15.03,1.64,5
T-0164,object_tracking,6.0,19.9,1.29,5
T-0165,anomaly_detection,5.0,31.44,1.76,4
T-0166,path_planning,3.96,4.19,0.95,5
T-0167,terrain_mapping,8.17,82.34,5.06,2
T-0168,terrain_mapping,11.95,83.77,4.98,2
T-0169,image_processing,6.5,59.31,2.83,4
T-0170,image_processing,8.1,49.14,3.22,3
T-0171,path_planning,2.15,6.91,0.91,5
T-0172,terrain_mapping,10.6,85.55,5.28,2
T-0173,terrain_mapping,11.82,78.8,5.33,2
T-0174,object_tracking,4.07,15.68,1.58,5
T-0175,path_planning,3.49,5.17,0.84,5
T-0176,image_processing,7.77,53.88,3.4,1
T-0177,anomaly_detection,5.08,26.46,1.67,4
T-0178,path_planning,2.34,3.39,1.15,5
T-0179,path_planning,3.0,5.92,0.89,5
T-0180,terrain_mapping,9.02,60.28,5.21,2
T-0181,object_tracking,4.32,19.42,1.41,5
T-0182,terrain_mapping,10.76,73.71,4.45,2
T-0183,terrain_mapping,8.43,71.44,4.54,2
T-0184,anomaly_detection,4.07,32.45,1.78,1
T-0185,object_tracking,5.49,23.33,1.74,5
T-0186,path_planning,3.21,4.76,1.05,5
T-0187,path_planning,3.26,7.52,1.06,5
T-0188,terrain_mapping,8.13,70.95,4.2,2
T-0189,anomaly_detection,6.24,22.63,1.59,4
T-0190,anomaly_detection,5.59,33.7,2.08,4
T-0191,terrain_mapping,11.87,68.85,5.31,2
T-0192,terrain_mapping,11.85,64.22,5.45,2
T-0193,terrain_mapping,11.87,84.14,4.55,2
T-0194,image_processing,7.06,42.47,2.87,3
T-0195,anomaly_detection,5.75,32.34,2.16,2
T-0196,terrain_mapping,8.1,86.53,4.84,2
T-0197,path_planning,3.3,6.18,0.99,5
T-0198,terrain_mapping,8.47,61.36,4.06,2
T-0199,image_processing,6.39,57.75,2.64,3
T-0200,object_tracking,4.84,22.42,1.29,5
T-0201,image_processing,9.33,52.31,3.44,3
T-0202,anomaly_detection,4.65,26.67,1.67,4
T-0203,anomaly_detection,5.63,34.67,1.75,4
T-0204,path_planning,3.94,7.75,1.13,2
T-0205,object_tracking,5.94,15.51,1.4,5
T-0206,object_tracking,4.41,23.3,1.53,5
T-0207,path_planning,2.66,3.74,1.16,2
T-0208,path_planning,3.08,6.99,0.84,5
T-0209,path_planning,2.03,6.95,0.9,5
T-0210,path_planning,2.53,3.63,0.97,1
T-0211,terrain_mapping,9.79,70.86,4.89,2
