time_sec,voltage_v,current_a,temperature_c,soc_pct
35.70,3.9749,-2.0125,24.39,81.24
53.78,3.9517,-2.0140,24.54,79.31
71.92,3.9344,-2.0111,24.73,77.86
90.09,3.9201,-2.0130,24.91,76.67
108.28,3.9079,-2.0144,25.11,75.66
126.45,3.8970,-2.0116,25.32,74.75
144.64,3.8875,-2.0180,25.51,73.96
162.84,3.8790,-2.0131,25.70,73.25
181.02,3.8710,-2.0132,25.89,72.58
199.22,3.8635,-2.0130,26.08,71.96
217.39,3.8567,-2.0137,26.25,71.39
235.59,3.8500,-2.0142,26.44,70.83
253.75,3.8438,-2.0135,26.61,70.32
271.98,3.8377,-2.0126,26.78,69.81
290.14,3.8319,-2.0134,26.96,69.33
308.36,3.8264,-2.0131,27.13,68.87
326.50,3.8211,-2.0120,27.31,68.42
344.75,3.8159,-2.0145,27.46,67.99
362.91,3.8107,-2.0131,27.62,67.56
381.05,3.8058,-2.0092,27.78,67.15
399.19,3.8011,-2.0147,27.93,66.76
417.28,3.7963,-2.0132,28.08,66.36
435.48,3.7914,-2.0115,28.23,65.95
453.67,3.7866,-2.0122,28.38,65.55
471.81,3.7821,-2.0139,28.52,65.17
490.20,3.7772,-2.0121,28.67,64.76
508.34,3.7724,-2.0107,28.82,64.37
526.62,3.7679,-2.0121,28.93,63.99
544.92,3.7632,-2.0123,29.07,63.60
563.12,3.7585,-2.0135,29.18,63.21
581.41,3.7542,-2.0136,29.29,62.85
599.66,3.7496,-2.0128,29.40,62.47
617.88,3.7452,-2.0124,29.50,62.10
636.05,3.7410,-2.0125,29.59,61.75
654.42,3.7367,-2.0134,29.68,61.39
672.59,3.7325,-2.0126,29.77,61.04
690.81,3.7284,-2.0155,29.84,60.70
708.94,3.7245,-2.0113,29.91,60.38
727.27,3.7207,-2.0109,29.98,60.05
745.58,3.7164,-2.0130,30.03,59.70
763.80,3.7128,-2.0108,30.09,59.40
782.11,3.7084,-2.0137,30.14,59.04
800.48,3.7048,-2.0111,30.19,58.73
818.80,3.7007,-2.0122,30.24,58.39
837.02,3.6968,-2.0123,30.28,58.06
855.25,3.6930,-2.0120,30.33,57.75
873.58,3.6892,-2.0121,30.39,57.43
891.81,3.6852,-2.0107,30.42,57.10
910.14,3.6815,-2.0133,30.47,56.79
928.39,3.6778,-2.0110,30.52,56.48
946.72,3.6741,-2.0127,30.57,56.17
965.05,3.6703,-2.0114,30.61,55.86
983.39,3.6667,-2.0128,30.66,55.56
1001.77,3.6630,-2.0116,30.70,55.25
1020.17,3.6597,-2.0127,30.76,54.97
1038.59,3.6559,-2.0139,30.81,54.66
1056.92,3.6523,-2.0107,30.86,54.36
1075.20,3.6488,-2.0120,30.91,54.06
1093.69,3.6455,-2.0092,30.96,53.80
1112.00,3.6421,-2.0137,31.01,53.51
1130.33,3.6385,-2.0128,31.06,53.21
1148.75,3.6351,-2.0141,31.12,52.92
1167.12,3.6317,-2.0111,31.16,52.64
1185.64,3.6286,-2.0109,31.22,52.38
1203.98,3.6250,-2.0124,31.28,52.08
1222.41,3.6216,-2.0132,31.33,51.80
1240.80,3.6185,-2.0142,31.38,51.54
1259.16,3.6151,-2.0126,31.44,51.26
1277.55,3.6119,-2.0122,31.50,50.99
1295.91,3.6086,-2.0116,31.55,50.71
1314.30,3.6055,-2.0141,31.60,50.46
1332.69,3.6022,-2.0119,31.66,50.18
1351.20,3.5989,-2.0154,31.70,49.90
1369.69,3.5958,-2.0127,31.76,49.65
1388.12,3.5930,-2.0139,31.81,49.42
1406.58,3.5897,-2.0136,31.87,49.14
1425.06,3.5867,-2.0163,31.92,48.89
1443.61,3.5834,-2.0128,31.96,48.62
1462.05,3.5805,-2.0128,32.01,48.37
1480.55,3.5773,-2.0125,32.07,48.10
1499.03,3.5744,-2.0116,32.12,47.86
1517.67,3.5713,-2.0162,32.16,47.61
1536.11,3.5687,-2.0122,32.22,47.39
1554.78,3.5656,-2.0138,32.27,47.13
1573.28,3.5626,-2.0139,32.31,46.88
1591.86,3.5598,-2.0108,32.37,46.65
1610.41,3.5569,-2.0107,32.41,46.41
1628.95,3.5540,-2.0135,32.45,46.16
1647.56,3.5512,-2.0133,32.50,45.93
1666.06,3.5485,-2.0117,32.55,45.71
1684.66,3.5458,-2.0130,32.60,45.48
1703.22,3.5431,-2.0134,32.64,45.26
1721.89,3.5403,-2.0137,32.69,45.02
1740.44,3.5374,-2.0131,32.73,44.78
1759.02,3.5352,-2.0111,32.78,44.60
1777.64,3.5325,-2.0128,32.82,44.38
1796.33,3.5299,-2.0148,32.87,44.16
1815.05,3.5275,-2.0130,32.91,43.96
1833.75,3.5250,-2.0138,32.96,43.75
1852.39,3.5226,-2.0120,32.98,43.55
1871.08,3.5201,-2.0113,33.03,43.34
1889.84,3.5180,-2.0102,33.07,43.16
1908.58,3.5154,-2.0125,33.11,42.95
1927.28,3.5133,-2.0136,33.16,42.77
1946.03,3.5111,-2.0131,33.20,42.59
1964.89,3.5088,-2.0121,33.24,42.40
1983.70,3.5069,-2.0117,33.28,42.24
2002.48,3.5047,-2.0109,33.32,42.06
2021.19,3.5028,-2.0151,33.35,41.90
2039.91,3.5006,-2.0125,33.40,41.72
2058.64,3.4988,-2.0153,33.44,41.57
2077.41,3.4965,-2.0118,33.49,41.38
2096.31,3.4948,-2.0141,33.53,41.23
2115.05,3.4926,-2.0120,33.57,41.05
2133.97,3.4909,-2.0117,33.61,40.91
2152.81,3.4888,-2.0123,33.66,40.74
2171.62,3.4869,-2.0113,33.71,40.57
2190.55,3.4850,-2.0116,33.77,40.42
2209.42,3.4832,-2.0136,33.82,40.26
2228.30,3.4810,-2.0119,33.85,40.08
2247.22,3.4793,-2.0152,33.90,39.94
2265.97,3.4772,-2.0140,33.95,39.77
2284.94,3.4753,-2.0132,34.00,39.61
2303.86,3.4734,-2.0117,34.05,39.45
2322.80,3.4712,-2.0129,34.10,39.27
2341.77,3.4692,-2.0119,34.14,39.10
2360.59,3.4672,-2.0124,34.19,38.93
2379.58,3.4651,-2.0103,34.24,38.76
2398.67,3.4632,-2.0127,34.30,38.60
2417.80,3.4608,-2.0140,34.35,38.40
2436.91,3.4585,-2.0145,34.40,38.21
2455.97,3.4564,-2.0108,34.46,38.03
2474.98,3.4538,-2.0122,34.53,37.82
2494.03,3.4516,-2.0087,34.58,37.63
2513.19,3.4493,-2.0167,34.64,37.45
2532.39,3.4469,-2.0139,34.72,37.24
2551.55,3.4443,-2.0116,34.77,37.03
2570.58,3.4419,-2.0111,34.84,36.82
2589.70,3.4389,-2.0135,34.91,36.58
2608.80,3.4364,-2.0113,34.97,36.36
2627.95,3.4337,-2.0139,35.04,36.14
2647.23,3.4309,-2.0127,35.10,35.91
2666.52,3.4278,-2.0128,35.17,35.65
2685.81,3.4248,-2.0111,35.25,35.40
2704.97,3.4218,-2.0118,35.32,35.15
